날짜 및 시간 : 2025-07-16 11:57:42, 내부 온도 : 18, 외부 온도 : 15, 내부 습도 : 57, 외부 광량 : 714, 내부 CO2농도 : 0.040, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:29:19, 내부 온도 : 21, 외부 온도 : 11, 내부 습도 : 51, 외부 광량 : 582, 내부 CO2농도 : 0.061, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:29:24, 내부 온도 : 18, 외부 온도 : 9, 내부 습도 : 52, 외부 광량 : 574, 내부 CO2농도 : 0.060, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:29:29, 내부 온도 : 25, 외부 온도 : 19, 내부 습도 : 55, 외부 광량 : 550, 내부 CO2농도 : 0.093, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:31:23, 내부 온도 : 29, 외부 온도 : 10, 내부 습도 : 60, 외부 광량 : 647, 내부 CO2농도 : 0.097, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:31:23, 내부 온도 : 27, 외부 온도 : 7, 내부 습도 : 57, 외부 광량 : 581, 내부 CO2농도 : 0.072, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:31:28, 내부 온도 : 29, 외부 온도 : 0, 내부 습도 : 53, 외부 광량 : 587, 내부 CO2농도 : 0.055, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:31:33, 내부 온도 : 24, 외부 온도 : 1, 내부 습도 : 55, 외부 광량 : 651, 내부 CO2농도 : 0.073, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:31:38, 내부 온도 : 30, 외부 온도 : 20, 내부 습도 : 57, 외부 광량 : 633, 내부 CO2농도 : 0.081, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:31:43, 내부 온도 : 27, 외부 온도 : 1, 내부 습도 : 50, 외부 광량 : 589, 내부 CO2농도 : 0.061, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:31:48, 내부 온도 : 29, 외부 온도 : 16, 내부 습도 : 56, 외부 광량 : 619, 내부 CO2농도 : 0.088, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:31:53, 내부 온도 : 28, 외부 온도 : 11, 내부 습도 : 60, 외부 광량 : 672, 내부 CO2농도 : 0.073, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:31:58, 내부 온도 : 20, 외부 온도 : 18, 내부 습도 : 58, 외부 광량 : 675, 내부 CO2농도 : 0.022, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:32:03, 내부 온도 : 19, 외부 온도 : 11, 내부 습도 : 55, 외부 광량 : 602, 내부 CO2농도 : 0.068, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:32:08, 내부 온도 : 20, 외부 온도 : 4, 내부 습도 : 60, 외부 광량 : 683, 내부 CO2농도 : 0.039, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:32:13, 내부 온도 : 26, 외부 온도 : 10, 내부 습도 : 57, 외부 광량 : 687, 내부 CO2농도 : 0.093, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:32:18, 내부 온도 : 18, 외부 온도 : 1, 내부 습도 : 60, 외부 광량 : 673, 내부 CO2농도 : 0.056, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:32:23, 내부 온도 : 27, 외부 온도 : 8, 내부 습도 : 51, 외부 광량 : 690, 내부 CO2농도 : 0.085, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:32:28, 내부 온도 : 22, 외부 온도 : 10, 내부 습도 : 51, 외부 광량 : 573, 내부 CO2농도 : 0.090, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:32:33, 내부 온도 : 26, 외부 온도 : 14, 내부 습도 : 60, 외부 광량 : 669, 내부 CO2농도 : 0.078, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:32:38, 내부 온도 : 29, 외부 온도 : 18, 내부 습도 : 60, 외부 광량 : 680, 내부 CO2농도 : 0.041, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:32:43, 내부 온도 : 23, 외부 온도 : 3, 내부 습도 : 56, 외부 광량 : 603, 내부 CO2농도 : 0.091, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:32:48, 내부 온도 : 19, 외부 온도 : 15, 내부 습도 : 57, 외부 광량 : 704, 내부 CO2농도 : 0.048, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:32:53, 내부 온도 : 25, 외부 온도 : 13, 내부 습도 : 56, 외부 광량 : 642, 내부 CO2농도 : 0.061, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:32:58, 내부 온도 : 20, 외부 온도 : 20, 내부 습도 : 52, 외부 광량 : 657, 내부 CO2농도 : 0.087, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:33:03, 내부 온도 : 18, 외부 온도 : 5, 내부 습도 : 55, 외부 광량 : 696, 내부 CO2농도 : 0.047, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:33:08, 내부 온도 : 28, 외부 온도 : 15, 내부 습도 : 59, 외부 광량 : 574, 내부 CO2농도 : 0.086, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:33:13, 내부 온도 : 24, 외부 온도 : 11, 내부 습도 : 51, 외부 광량 : 532, 내부 CO2농도 : 0.034, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:33:18, 내부 온도 : 28, 외부 온도 : 2, 내부 습도 : 50, 외부 광량 : 703, 내부 CO2농도 : 0.057, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:33:23, 내부 온도 : 27, 외부 온도 : 15, 내부 습도 : 60, 외부 광량 : 641, 내부 CO2농도 : 0.046, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:33:28, 내부 온도 : 29, 외부 온도 : 14, 내부 습도 : 52, 외부 광량 : 682, 내부 CO2농도 : 0.094, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:33:33, 내부 온도 : 22, 외부 온도 : 2, 내부 습도 : 58, 외부 광량 : 612, 내부 CO2농도 : 0.068, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:33:38, 내부 온도 : 25, 외부 온도 : 0, 내부 습도 : 50, 외부 광량 : 641, 내부 CO2농도 : 0.038, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:33:43, 내부 온도 : 30, 외부 온도 : 17, 내부 습도 : 51, 외부 광량 : 642, 내부 CO2농도 : 0.080, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:33:48, 내부 온도 : 22, 외부 온도 : 14, 내부 습도 : 50, 외부 광량 : 599, 내부 CO2농도 : 0.080, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:33:53, 내부 온도 : 18, 외부 온도 : 7, 내부 습도 : 58, 외부 광량 : 554, 내부 CO2농도 : 0.081, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:33:58, 내부 온도 : 25, 외부 온도 : 1, 내부 습도 : 56, 외부 광량 : 633, 내부 CO2농도 : 0.026, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:34:03, 내부 온도 : 19, 외부 온도 : 21, 내부 습도 : 52, 외부 광량 : 563, 내부 CO2농도 : 0.042, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:34:05, 내부 온도 : 18, 외부 온도 : 6, 내부 습도 : 52, 외부 광량 : 528, 내부 CO2농도 : 0.030, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:34:06, 내부 온도 : 23, 외부 온도 : 21, 내부 습도 : 51, 외부 광량 : 529, 내부 CO2농도 : 0.065, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:34:08, 내부 온도 : 26, 외부 온도 : 7, 내부 습도 : 57, 외부 광량 : 654, 내부 CO2농도 : 0.063, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:34:11, 내부 온도 : 24, 외부 온도 : 15, 내부 습도 : 52, 외부 광량 : 653, 내부 CO2농도 : 0.067, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:34:13, 내부 온도 : 22, 외부 온도 : 1, 내부 습도 : 58, 외부 광량 : 524, 내부 CO2농도 : 0.063, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:34:16, 내부 온도 : 26, 외부 온도 : 2, 내부 습도 : 58, 외부 광량 : 615, 내부 CO2농도 : 0.051, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:36:44, 내부 온도 : 23, 외부 온도 : 14, 내부 습도 : 57, 외부 광량 : 631, 내부 CO2농도 : 0.078, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:36:44, 내부 온도 : 22, 외부 온도 : 3, 내부 습도 : 55, 외부 광량 : 511, 내부 CO2농도 : 0.065, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:36:49, 내부 온도 : 19, 외부 온도 : 5, 내부 습도 : 56, 외부 광량 : 710, 내부 CO2농도 : 0.076, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:36:54, 내부 온도 : 28, 외부 온도 : 20, 내부 습도 : 50, 외부 광량 : 651, 내부 CO2농도 : 0.025, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:36:59, 내부 온도 : 29, 외부 온도 : 8, 내부 습도 : 58, 외부 광량 : 710, 내부 CO2농도 : 0.077, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:37:04, 내부 온도 : 18, 외부 온도 : 17, 내부 습도 : 59, 외부 광량 : 626, 내부 CO2농도 : 0.060, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:37:09, 내부 온도 : 30, 외부 온도 : 18, 내부 습도 : 56, 외부 광량 : 538, 내부 CO2농도 : 0.074, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:37:14, 내부 온도 : 24, 외부 온도 : 13, 내부 습도 : 50, 외부 광량 : 591, 내부 CO2농도 : 0.092, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:37:19, 내부 온도 : 22, 외부 온도 : 2, 내부 습도 : 54, 외부 광량 : 530, 내부 CO2농도 : 0.061, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:37:24, 내부 온도 : 19, 외부 온도 : 15, 내부 습도 : 52, 외부 광량 : 668, 내부 CO2농도 : 0.021, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:37:29, 내부 온도 : 21, 외부 온도 : 2, 내부 습도 : 60, 외부 광량 : 553, 내부 CO2농도 : 0.040, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:37:34, 내부 온도 : 24, 외부 온도 : 8, 내부 습도 : 52, 외부 광량 : 514, 내부 CO2농도 : 0.049, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:37:39, 내부 온도 : 25, 외부 온도 : 16, 내부 습도 : 51, 외부 광량 : 511, 내부 CO2농도 : 0.086, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:37:44, 내부 온도 : 21, 외부 온도 : 19, 내부 습도 : 57, 외부 광량 : 583, 내부 CO2농도 : 0.069, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:37:49, 내부 온도 : 28, 외부 온도 : 3, 내부 습도 : 55, 외부 광량 : 580, 내부 CO2농도 : 0.029, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:37:54, 내부 온도 : 19, 외부 온도 : 15, 내부 습도 : 57, 외부 광량 : 644, 내부 CO2농도 : 0.098, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:37:59, 내부 온도 : 30, 외부 온도 : 5, 내부 습도 : 51, 외부 광량 : 710, 내부 CO2농도 : 0.052, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:38:04, 내부 온도 : 20, 외부 온도 : 19, 내부 습도 : 58, 외부 광량 : 592, 내부 CO2농도 : 0.068, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:38:15, 내부 온도 : 21, 외부 온도 : 11, 내부 습도 : 53, 외부 광량 : 510, 내부 CO2농도 : 0.024, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:38:15, 내부 온도 : 30, 외부 온도 : 19, 내부 습도 : 55, 외부 광량 : 671, 내부 CO2농도 : 0.049, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:38:20, 내부 온도 : 19, 외부 온도 : 6, 내부 습도 : 60, 외부 광량 : 585, 내부 CO2농도 : 0.076, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:38:25, 내부 온도 : 21, 외부 온도 : 6, 내부 습도 : 57, 외부 광량 : 710, 내부 CO2농도 : 0.076, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:38:30, 내부 온도 : 18, 외부 온도 : 13, 내부 습도 : 50, 외부 광량 : 627, 내부 CO2농도 : 0.046, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:38:35, 내부 온도 : 29, 외부 온도 : 6, 내부 습도 : 52, 외부 광량 : 569, 내부 CO2농도 : 0.087, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:38:40, 내부 온도 : 26, 외부 온도 : 15, 내부 습도 : 55, 외부 광량 : 520, 내부 CO2농도 : 0.022, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:38:45, 내부 온도 : 18, 외부 온도 : 13, 내부 습도 : 54, 외부 광량 : 567, 내부 CO2농도 : 0.050, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:38:50, 내부 온도 : 21, 외부 온도 : 17, 내부 습도 : 56, 외부 광량 : 523, 내부 CO2농도 : 0.060, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:38:55, 내부 온도 : 20, 외부 온도 : 14, 내부 습도 : 58, 외부 광량 : 527, 내부 CO2농도 : 0.066, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:39:00, 내부 온도 : 23, 외부 온도 : 1, 내부 습도 : 53, 외부 광량 : 578, 내부 CO2농도 : 0.093, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:39:05, 내부 온도 : 20, 외부 온도 : 14, 내부 습도 : 52, 외부 광량 : 582, 내부 CO2농도 : 0.037, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:39:10, 내부 온도 : 21, 외부 온도 : 12, 내부 습도 : 55, 외부 광량 : 640, 내부 CO2농도 : 0.052, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:39:15, 내부 온도 : 29, 외부 온도 : 7, 내부 습도 : 51, 외부 광량 : 562, 내부 CO2농도 : 0.055, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:39:20, 내부 온도 : 24, 외부 온도 : 2, 내부 습도 : 51, 외부 광량 : 647, 내부 CO2농도 : 0.087, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:39:25, 내부 온도 : 26, 외부 온도 : 5, 내부 습도 : 59, 외부 광량 : 507, 내부 CO2농도 : 0.027, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:39:30, 내부 온도 : 26, 외부 온도 : 17, 내부 습도 : 54, 외부 광량 : 648, 내부 CO2농도 : 0.048, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:39:35, 내부 온도 : 24, 외부 온도 : 18, 내부 습도 : 50, 외부 광량 : 674, 내부 CO2농도 : 0.031, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:39:40, 내부 온도 : 29, 외부 온도 : 6, 내부 습도 : 59, 외부 광량 : 669, 내부 CO2농도 : 0.099, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:39:45, 내부 온도 : 19, 외부 온도 : 14, 내부 습도 : 59, 외부 광량 : 508, 내부 CO2농도 : 0.048, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:39:50, 내부 온도 : 18, 외부 온도 : 10, 내부 습도 : 59, 외부 광량 : 577, 내부 CO2농도 : 0.084, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:39:55, 내부 온도 : 20, 외부 온도 : 21, 내부 습도 : 57, 외부 광량 : 618, 내부 CO2농도 : 0.054, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:40:00, 내부 온도 : 29, 외부 온도 : 9, 내부 습도 : 58, 외부 광량 : 514, 내부 CO2농도 : 0.084, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:40:53, 내부 온도 : 25, 외부 온도 : 15, 내부 습도 : 56, 외부 광량 : 555, 내부 CO2농도 : 0.040, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:40:53, 내부 온도 : 28, 외부 온도 : 8, 내부 습도 : 53, 외부 광량 : 566, 내부 CO2농도 : 0.050, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:40:58, 내부 온도 : 21, 외부 온도 : 10, 내부 습도 : 57, 외부 광량 : 536, 내부 CO2농도 : 0.099, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:41:03, 내부 온도 : 22, 외부 온도 : 2, 내부 습도 : 50, 외부 광량 : 676, 내부 CO2농도 : 0.099, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:41:08, 내부 온도 : 29, 외부 온도 : 17, 내부 습도 : 55, 외부 광량 : 681, 내부 CO2농도 : 0.086, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:41:13, 내부 온도 : 21, 외부 온도 : 17, 내부 습도 : 51, 외부 광량 : 702, 내부 CO2농도 : 0.090, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:41:18, 내부 온도 : 24, 외부 온도 : 7, 내부 습도 : 60, 외부 광량 : 670, 내부 CO2농도 : 0.057, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:41:23, 내부 온도 : 25, 외부 온도 : 13, 내부 습도 : 51, 외부 광량 : 610, 내부 CO2농도 : 0.050, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:41:28, 내부 온도 : 30, 외부 온도 : 17, 내부 습도 : 57, 외부 광량 : 703, 내부 CO2농도 : 0.079, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:41:33, 내부 온도 : 28, 외부 온도 : 10, 내부 습도 : 59, 외부 광량 : 596, 내부 CO2농도 : 0.089, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:41:38, 내부 온도 : 21, 외부 온도 : 0, 내부 습도 : 58, 외부 광량 : 592, 내부 CO2농도 : 0.071, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:41:43, 내부 온도 : 19, 외부 온도 : 2, 내부 습도 : 51, 외부 광량 : 541, 내부 CO2농도 : 0.021, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:41:48, 내부 온도 : 27, 외부 온도 : 19, 내부 습도 : 59, 외부 광량 : 695, 내부 CO2농도 : 0.094, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:41:53, 내부 온도 : 24, 외부 온도 : 4, 내부 습도 : 51, 외부 광량 : 517, 내부 CO2농도 : 0.070, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:41:58, 내부 온도 : 23, 외부 온도 : 12, 내부 습도 : 57, 외부 광량 : 658, 내부 CO2농도 : 0.044, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:42:03, 내부 온도 : 24, 외부 온도 : 3, 내부 습도 : 53, 외부 광량 : 692, 내부 CO2농도 : 0.051, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:42:08, 내부 온도 : 24, 외부 온도 : 20, 내부 습도 : 60, 외부 광량 : 677, 내부 CO2농도 : 0.089, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:42:13, 내부 온도 : 29, 외부 온도 : 20, 내부 습도 : 56, 외부 광량 : 650, 내부 CO2농도 : 0.050, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:42:18, 내부 온도 : 30, 외부 온도 : 11, 내부 습도 : 56, 외부 광량 : 654, 내부 CO2농도 : 0.041, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:42:23, 내부 온도 : 24, 외부 온도 : 11, 내부 습도 : 59, 외부 광량 : 586, 내부 CO2농도 : 0.074, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:42:28, 내부 온도 : 30, 외부 온도 : 21, 내부 습도 : 51, 외부 광량 : 520, 내부 CO2농도 : 0.096, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:42:33, 내부 온도 : 22, 외부 온도 : 11, 내부 습도 : 53, 외부 광량 : 567, 내부 CO2농도 : 0.030, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:42:38, 내부 온도 : 29, 외부 온도 : 0, 내부 습도 : 59, 외부 광량 : 705, 내부 CO2농도 : 0.084, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:42:43, 내부 온도 : 19, 외부 온도 : 8, 내부 습도 : 56, 외부 광량 : 654, 내부 CO2농도 : 0.021, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:42:48, 내부 온도 : 25, 외부 온도 : 5, 내부 습도 : 50, 외부 광량 : 538, 내부 CO2농도 : 0.051, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:42:53, 내부 온도 : 22, 외부 온도 : 2, 내부 습도 : 57, 외부 광량 : 551, 내부 CO2농도 : 0.060, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:55:51, 내부 온도 : 18, 외부 온도 : 8, 내부 습도 : 57, 외부 광량 : 690, 내부 CO2농도 : 0.000, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:55:51, 내부 온도 : 30, 외부 온도 : 2, 내부 습도 : 51, 외부 광량 : 571, 내부 CO2농도 : 0.000, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:55:56, 내부 온도 : 29, 외부 온도 : 12, 내부 습도 : 58, 외부 광량 : 630, 내부 CO2농도 : 0.000, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:56:01, 내부 온도 : 19, 외부 온도 : 16, 내부 습도 : 50, 외부 광량 : 714, 내부 CO2농도 : 0.000, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:03:06, 내부 온도 : 24, 외부 온도 : 14, 내부 습도 : 59, 외부 광량 : 546, 내부 CO2농도 : 0.093, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:03:06, 내부 온도 : 20, 외부 온도 : 18, 내부 습도 : 50, 외부 광량 : 713, 내부 CO2농도 : 0.057, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:03:11, 내부 온도 : 24, 외부 온도 : 3, 내부 습도 : 54, 외부 광량 : 518, 내부 CO2농도 : 0.078, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:03:16, 내부 온도 : 22, 외부 온도 : 4, 내부 습도 : 54, 외부 광량 : 583, 내부 CO2농도 : 0.081, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:03:21, 내부 온도 : 27, 외부 온도 : 18, 내부 습도 : 52, 외부 광량 : 661, 내부 CO2농도 : 0.095, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 14:03:26, 내부 온도 : 20, 외부 온도 : 1, 내부 습도 : 51, 외부 광량 : 702, 내부 CO2농도 : 0.071, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:03:31, 내부 온도 : 18, 외부 온도 : 19, 내부 습도 : 53, 외부 광량 : 535, 내부 CO2농도 : 0.090, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:03:36, 내부 온도 : 23, 외부 온도 : 9, 내부 습도 : 60, 외부 광량 : 680, 내부 CO2농도 : 0.069, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:03:41, 내부 온도 : 22, 외부 온도 : 13, 내부 습도 : 55, 외부 광량 : 586, 내부 CO2농도 : 0.054, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:03:46, 내부 온도 : 19, 외부 온도 : 7, 내부 습도 : 60, 외부 광량 : 709, 내부 CO2농도 : 0.074, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:03:51, 내부 온도 : 23, 외부 온도 : 1, 내부 습도 : 53, 외부 광량 : 644, 내부 CO2농도 : 0.043, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:03:56, 내부 온도 : 19, 외부 온도 : 20, 내부 습도 : 56, 외부 광량 : 663, 내부 CO2농도 : 0.026, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:04:01, 내부 온도 : 23, 외부 온도 : 5, 내부 습도 : 57, 외부 광량 : 679, 내부 CO2농도 : 0.065, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:04:06, 내부 온도 : 29, 외부 온도 : 14, 내부 습도 : 50, 외부 광량 : 536, 내부 CO2농도 : 0.071, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:04:11, 내부 온도 : 28, 외부 온도 : 12, 내부 습도 : 56, 외부 광량 : 673, 내부 CO2농도 : 0.065, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:04:25, 내부 온도 : 22, 외부 온도 : 5, 내부 습도 : 50, 외부 광량 : 531, 내부 CO2농도 : 0.064, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 14:04:25, 내부 온도 : 21, 외부 온도 : 5, 내부 습도 : 52, 외부 광량 : 562, 내부 CO2농도 : 0.070, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:04:30, 내부 온도 : 20, 외부 온도 : 8, 내부 습도 : 53, 외부 광량 : 579, 내부 CO2농도 : 0.025, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:04:35, 내부 온도 : 22, 외부 온도 : 19, 내부 습도 : 57, 외부 광량 : 508, 내부 CO2농도 : 0.066, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 14:04:40, 내부 온도 : 26, 외부 온도 : 14, 내부 습도 : 57, 외부 광량 : 581, 내부 CO2농도 : 0.023, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:04:45, 내부 온도 : 18, 외부 온도 : 12, 내부 습도 : 57, 외부 광량 : 591, 내부 CO2농도 : 0.063, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:04:50, 내부 온도 : 20, 외부 온도 : 8, 내부 습도 : 60, 외부 광량 : 563, 내부 CO2농도 : 0.073, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:04:55, 내부 온도 : 30, 외부 온도 : 1, 내부 습도 : 50, 외부 광량 : 634, 내부 CO2농도 : 0.058, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:05:00, 내부 온도 : 21, 외부 온도 : 13, 내부 습도 : 55, 외부 광량 : 617, 내부 CO2농도 : 0.025, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:05:05, 내부 온도 : 24, 외부 온도 : 13, 내부 습도 : 60, 외부 광량 : 639, 내부 CO2농도 : 0.035, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 14:05:10, 내부 온도 : 25, 외부 온도 : 17, 내부 습도 : 50, 외부 광량 : 629, 내부 CO2농도 : 0.028, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 14:05:15, 내부 온도 : 20, 외부 온도 : 1, 내부 습도 : 51, 외부 광량 : 542, 내부 CO2농도 : 0.073, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 14:05:20, 내부 온도 : 25, 외부 온도 : 21, 내부 습도 : 58, 외부 광량 : 661, 내부 CO2농도 : 0.029, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 14:05:25, 내부 온도 : 24, 외부 온도 : 18, 내부 습도 : 55, 외부 광량 : 603, 내부 CO2농도 : 0.058, 내부 O2농도 : 7
